link,text,user,likes,quotes,retweets,comments
https://twitter.com/ibrahimkaragul/status/1816852929145458712#m,"Türkiye ve Pakistan'ın Azerbaycan'a verdiği askeri desteğe karşı;  Hindistan, İran ve Fransa Ermenistan'a yoğun silah sevkıyatı yapıyor.   Bu Sonbahar-Kış döneminde ikinci kez savaş başlayabilir.   Ama bu sefer Ermenistan, Zengezur'u ve İran'la sınır bağlantısını kaybedebilir.   Zaten böyle bir ""Bahane""ye ihtiyaç da var.  Doğu Kapısı, bu sefer ardına kadar açılmalı.",İbrahim Karagül,3511,15,882,129
https://twitter.com/sukainaraii12/status/1817185997961961477#m,"CPEC is the backbone in the development of Balochistan, which many countries hostile to Pakistan, including India and Europe, are afraid of  Long live Maharang Baazian  Long live the Baloch people  Long live Pakistan MaharangbazExposed",sukaina,0,0,0,1
https://twitter.com/AndyLeeHome1/status/1817185995172847774#m,He is English/British of Pakistan heritage. I guess only white people born here are British according to you?,AndyLee@Home,0,0,0,0
https://twitter.com/usmanbullet2/status/1817170950951252228#m,Boss Pakistan 🩵,Usman Riaz Khan,765,6,232,8
https://twitter.com/Garbo_2/status/1817185990059884787#m,"Helt orimligt att journalister inte får rapportera för att det nu klassas som spionage.  Stödjer Sverige ett folkmord, eller islamiska staten Saudiarabien där politiska partier ej tillåts och styrs av en rik familj, eller Pakistan kanske? Varför är det hemligt?",Garbo✌🏼❤️🎶,0,0,0,0
https://twitter.com/Lurkr33/status/1817185988352897320#m,"Aucun autre pays à notre époque à atteint un tel bas fond moral, si ce. n'est peut être le Pakistan, mais pour d'autres raison.  Aucun autre pays ne peut faire ça en effet.",Lurkr 🇲🇫🕊,0,0,0,0
https://twitter.com/tevfik_hams/status/1817169925204521225#m,"israil, bu fotoğraftaki güzel ailenin tamamını öldürdü.  - Lütfen bu katliamlara alışmayın..!!",Tevfik,1088,10,562,10
https://twitter.com/OpIndia_in/status/1817050113325375525#m,"गालीबाज शौहर से सोबिया लेना चाहती थी तलाक, अब्बा ने कुल्हाड़ी लेकर पाँव काटे: खून से लथपथ हाल में छोड़ा, पाकिस्तान की घटना  #Pakistan https://hindi.opindia.com/reports/international/pakistan-woman-legs-chopped-for-trying-to-end-abusive-marriage/",ऑपइंडिया,65,0,38,3
https://twitter.com/MeFixerr/status/1817137603566850175#m,"“When a leader falls for his nation, the nation rises for the leader”.  Imran Khan and Pakistan… the best love story of our generation.",Salar Sultanzai,1192,3,475,16
https://twitter.com/soulful7867/status/1817157540729262328#m,اگست میں دو تاریخیں ایسی ہیں جن پہ لوگوں کےباہر نکلنے کا ڈر ہے حکومت کو. ایک 5 اگست ، اور 14 اگست. 5 اگست کو ایک سال ہو جائے گا خان کو جیل کے اندر. اگر اس قوم میں کچھ بھی غیرت ہے تو سوچیں کیسے آپ نے اجازت دی ہے ان لوگوں کو کہ آپ کے ایک ایماندار سچے لیڈر کو کال کوٹھری میں ایک سال سے ڈالا ہوا ہے. ہو سکتا ہے کہ ان مظاہروں سے بچنے کے لیے، خبریں پھیلا رہے ہیں کہ خان اگست میں باہر آ رہا ہے. جب تک خان صاحب باہر نہیں آتے، کسی کی بات پر یقین نہ کریں. مظاہروں کی تیاری کریں. #ImranKhanFightingForPakistan #BushraImranKhan,Maryam Riaz Wattoo,399,4,138,34
